,Models,X-pos,Y-pos,Z-pos,Q-1,Q-2,Q-3,Q-4,Time
0,ground_plane,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12:10:23
1,room,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12:10:23
2,table451,-0.0,4.0,0.02,0.0,-0.0,-0.0,1.0,12:10:23
3,shelf522,4.8,3.0,0.025,0.0,0.0,0.707,0.707,12:10:23
4,sofa225,-3.7,-4.8,0.025,0.0,0.0,0.707,0.707,12:10:23
5,cabinet177,4.5,-4.8,0.02,0.031,-0.031,0.706,0.706,12:10:23
6,plate17,-0.171,4.441,0.496,-0.001,0.001,0.063,0.998,12:10:23
7,glass159,0.593,3.832,0.495,0.0,-0.0,0.006,1.0,12:10:23
8,plate897,-0.389,3.734,0.495,-0.0,-0.0,-0.029,1.0,12:10:23
9,mug526,-0.949,3.774,0.495,0.0,0.0,0.098,0.995,12:10:23
10,glass542,1.001,4.45,0.495,0.0,0.0,0.012,1.0,12:10:23
11,spoon197,0.833,4.193,0.497,-0.009,-0.0,-0.0,1.0,12:10:23
12,bottle319,1.145,4.22,0.495,0.0,-0.0,-0.004,1.0,12:10:23
13,glass18,0.286,3.872,0.495,0.0,-0.0,0.009,1.0,12:10:23
14,jackal_robot_issac,0.0,-0.0,0.083,-0.0,0.0,-0.0,1.0,12:10:23
15,minicoffeetable653,2.0,-1.0,0.02,-0.0,0.0,-0.0,1.0,12:10:23
16,minicoffeetable517,-2.0,-0.0,0.02,-0.0,-0.0,-0.0,1.0,12:10:23
17,coffeetable492,1.0,0.0,0.02,0.0,0.0,-0.0,1.0,12:10:23
18,coffeetable563,0.0,1.0,0.02,0.0,-0.0,0.0,1.0,12:10:23
19,minicoffeetable962,-1.0,1.0,0.02,0.0,0.0,0.0,1.0,12:10:23
20,coffeetable312,-1.0,-1.0,0.02,0.0,-0.0,0.0,1.0,12:10:23
21,coffeetable750,1.0,-2.0,0.02,0.0,-0.0,-0.0,1.0,12:10:23
22,coffeetable771,-0.0,-3.0,0.02,-0.0,-0.0,-0.0,1.0,12:10:23
